"last_name, first_name","player_id","year","xwoba","xwobacon","xbacon","exit_velocity_avg","launch_angle_avg","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","z_swing_percent","z_swing_miss_percent","oz_swing_percent","oz_swing_miss_percent","iz_contact_percent","edge_percent","whiff_percent","swing_percent","pull_percent","straightaway_percent","opposite_percent","f_strike_percent","flyballs_percent","linedrives_percent","sprint_speed"
"Andrus, Elvis","462101","2023",".267",".290",".285","87.5","5.5",2.6,31,"97.859729735","92.978938439",61.4,11.7,28,38.6,88.1,41.9,20,45,38.9,37.6,23.5,64.8,19.9,19.9,"26.5"
"Santana, Carlos","467793","2023",".308",".323",".294","88.8","12.8",6.7,36.4,"99.367236","93.791213073",68.2,17.2,24,34.9,82.8,41.3,22.1,45.3,47.1,32.2,20.7,56.2,24.2,22.2,"25.9"
"Belt, Brandon","474832","2023",".336",".462",".361","88.7","19.8",15,40,"100.691962551","94.453475333",67,24.8,17.9,57.3,74.3,45.1,32.3,41,41,32,27,55.3,39,24,"26.2"
"Gurriel, Yuli","493329","2023",".273",".280",".277","88.6","16.5",1.9,34.9,"97.568536744","92.903397315",62.9,10.5,30.7,27.3,89.5,41.8,16,46.8,39.5,34.5,26,62.7,24.4,23.6,"27.2"
"Rojas, Miguel","500743","2023",".288",".291",".288","87.3","11",2.9,32,"97.505333176","92.848794735",67.6,8.5,32.8,31.7,91.5,41.8,16.5,49.6,33.4,36,30.5,66.2,20.9,26.2,"26.4"
"Escobar, Eduardo","500871","2023",".244",".296",".279","86.3","14.4",3.8,30.6,"96.536556538","92.269302067",68.2,22.5,36,37.4,77.2,44.4,28.1,50.6,44.1,31.5,24.4,62.8,27.2,21.6,"27.1"
"Pham, Tommy","502054","2023",".361",".429",".377","92.3","5.7",10.7,49.1,"103.076305767","96.158685951",60.6,14,20.6,51.5,86,42.3,23.6,40.5,37.4,40.2,22.4,60.8,21.5,27.6,"27.8"
"Martinez, J.D.","502110","2023",".369",".518",".406","93.4","16.9",17.1,55.1,"103.470071027","96.728137226",75.4,23.5,32.1,58.3,76.5,43.9,34.4,53,37.7,37.7,24.7,65.9,37,24.3,"26.1"
"Goldschmidt, Paul","502671","2023",".367",".440",".371","91.3","12.8",12,50.8,"102.40959555","95.767792759",61.8,23.2,26.5,37.2,76.8,41.2,27.5,44,31.5,36.1,32.4,61.3,26.9,25.7,"26.4"
"Altuve, Jose","514888","2023",".331",".350",".305","86","11.4",8.3,31.4,"97.888341268","92.956086549",61.3,12.5,32.1,28.1,86.3,39.8,18.7,45.1,45.2,38.3,16.6,60.7,21.7,20.3,"26.9"
"Segura, Jean","516416","2023",".281",".295",".284","88","2.9",3.5,38.8,"99.845816452","94.042211093",65.1,12,36.9,31.1,87.7,40.5,19.2,50.5,29.8,43.5,26.7,61.7,15.7,17.6,"27.4"
"Marte, Starling","516782","2023",".312",".363",".335","88.2","6.3",5.6,39.5,"100.135976281","94.129016405",71.5,16.9,37.4,45.9,81.9,41.6,27.4,53.8,35.9,35.5,28.6,61.3,24.6,20.2,"27.1"
"d'Arnaud, Travis","518595","2023",".326",".391",".338","90.7","10.3",9,42.8,"101.038586","94.8353646",75.2,23.7,27.1,43.2,76.3,39.2,28.6,52,38.8,33.8,27.4,65.4,24.9,25.9,"26.1"
"Donaldson, Josh","518626","2023",".325",".395",".287","92.1","11.7",16.2,51.3,"102.387973559","95.920847692",64.1,21.8,26.4,38.1,78.2,45.8,26.7,44.8,47,32.5,20.5,65.6,29.9,12.8,"24.9"
"Freeman, Freddie","518692","2023",".408",".461",".396","90","15.2",11.1,42.2,"100.590638269","94.617661541",76.1,14.3,26.9,36.9,85.7,42.3,20.4,51,35.3,36.5,28.2,62,29.6,30.9,"26.7"
"Grandal, Yasmani","518735","2023",".282",".311",".292","87.9","10.8",4.7,34.4,"98.280329643","93.23662509",62.1,17.5,27.4,41.8,82.5,44.8,24.9,44.7,36.2,37.6,26.2,57.9,25.4,24.7,"22.8"
"Heyward, Jason","518792","2023",".319",".344",".308","87.7","15.4",8.1,37.4,"99.253685693","93.70715033",65.6,14,28.4,36.1,85.6,42.2,20.7,47,45.4,34.4,20.1,55.7,21.6,24.9,"27.1"
"LeMahieu, DJ","518934","2023",".322",".369",".340","89.6","3.8",5.9,43,"100.265359786","94.32212244",54.4,13,23.1,36.5,87,44.6,19.7,39.2,31.8,40.6,27.5,60.6,17.4,22.5,"25.7"
"Moustakas, Mike","519058","2023",".270",".327",".292","89","18",5.7,37.9,"99.28083626","93.790160498",71.5,19.6,33,45.3,80.4,45,27.3,53.2,39.6,34,26.4,61.4,29.1,24.5,"25.2"
"Rizzo, Anthony","519203","2023",".319",".367",".331","90","17.8",6.9,37.5,"99.161259855","93.823202582",64.1,15.4,34.1,41.4,84.6,43.5,25,48.4,41.5,38.3,20.2,62.1,30.7,28.5,"24.7"
