#,Name,Team,Bats,ESPN,YAHOO,G,PA,AB,R,HR,RBI,SB,H,1B,2B,3B,TB,SO,BB,HBP,SF,SH,CS,AVG,OBP,SLG,OPS,BABIP,RazzID
343,Austin Slater,SF,R,OF,OF,69,220,192,26.9,5.8,22.0,5.5,46.9,32.8,7.5,0.7,73.4,61.6,22.4,2.9,1.5,1.5,1.6,0.245,0.328,0.383,0.712,0.327,596103
344,Dylan Moore,SEA,R,2B/OF,2B/OF,69,217,187,24.3,6.3,22.7,10.8,38.4,21.1,10.2,0.9,69.2,66.4,23.0,4.4,1.7,1.4,3.8,0.206,0.303,0.371,0.673,0.278,664238
345,Colson Montgomery,CHW,L,SS,SS,61,215,186,24.5,4.9,20.3,1.4,41.8,27.2,9.0,0.7,66.9,52.5,22.7,3.7,1.6,1.3,0.6,0.225,0.317,0.360,0.677,0.284,695657
346,Nick Madrigal,CHC,R,3B,2B/3B,69,213,194,25.2,1.9,20.6,4.6,55.6,42.2,10.1,1.3,74.2,22.7,11.7,3.8,1.6,1.7,1.7,0.286,0.335,0.383,0.718,0.314,663611
347,Rob Refsnyder,BOS,R,OF,OF,64,212,182,26.6,4.4,21.5,3.5,46.9,32.4,9.5,0.7,71.0,50.0,23.4,3.5,1.5,1.3,1.4,0.258,0.349,0.390,0.739,0.330,13770
348,Tyler Freeman,CLE,R,3B,2B/SS/ 3B,65,210,187,23.8,4.0,21.7,4.1,51.1,36.0,10.5,0.6,74.8,32.6,14.8,5.8,1.5,1.0,1.5,0.273,0.341,0.400,0.740,0.310,671289
349,Graham Pauley,SD,L,3B,3B,65,208,189,25.1,6.8,25.2,3.0,47.6,28.2,12.0,0.5,81.0,45.1,15.8,2.1,1.4,0.8,1.3,0.252,0.314,0.429,0.743,0.295,688363
350,Omar Narvaez,NYM,L,C,C,69,207,183,25.0,4.6,21.7,0.9,44.7,30.4,9.2,0.4,68.6,41.3,19.7,2.3,1.6,1.4,0.3,0.244,0.322,0.375,0.697,0.289,13338
351,Freddy Fermin,KC,R,C,C,64,206,183,24.6,6.7,24.7,0.7,45.9,30.6,8.0,0.6,75.3,44.0,17.7,1.6,1.6,1.0,0.3,0.250,0.317,0.410,0.728,0.292,666023
352,Dylan Crews,WSH,R,OF,OF,61,204,185,20.9,4.8,20.6,3.6,42.5,27.7,9.4,0.6,67.4,54.4,13.4,2.6,1.5,1.3,1.5,0.230,0.287,0.365,0.652,0.297,686611
353,Victor Caratini,HOU,S,C,C,65,203,179,25.8,6.3,23.9,1.2,44.2,30.7,6.7,0.5,70.8,43.7,18.0,3.0,1.6,1.3,0.5,0.247,0.321,0.395,0.716,0.290,605170
354,Austin Barnes,LAD,R,C,C,65,202,177,24.6,5.4,22.0,2.9,39.7,25.2,8.8,0.4,65.4,44.2,18.9,2.5,1.6,1.5,1.0,0.225,0.303,0.369,0.672,0.266,12158
355,Joey Wiemer,MIL,R,OF,OF,65,198,176,23.8,6.9,22.8,5.2,40.5,24.4,8.8,0.4,70.8,53.3,16.8,2.0,1.5,1.4,1.8,0.229,0.301,0.401,0.702,0.285,686894
356,Kyle Higashioka,SD,R,C,C,65,197,182,23.2,7.9,24.2,1.0,41.1,24.7,8.2,0.3,73.6,52.5,11.8,1.2,1.6,1.5,0.4,0.226,0.274,0.405,0.679,0.270,5517
357,Stuart Fairchild,CIN,R,OF,OF,65,197,173,24.1,6.1,22.6,4.5,39.3,22.0,10.3,0.9,69.9,55.8,17.1,4.3,1.5,1.1,1.9,0.227,0.308,0.404,0.712,0.295,656413
358,Jordan Diaz,OAK,R,2B/3B,1B/2B/ 3B,59,197,182,21.4,6.2,23.1,0.7,46.6,29.7,10.3,0.3,76.2,39.2,10.1,1.8,1.5,0.9,0.3,0.255,0.297,0.419,0.716,0.292,672478
359,Coby Mayo,BAL,R,3B,3B,59,196,170,23.4,6.5,22.9,1.1,40.3,24.6,8.7,0.5,69.7,52.9,20.0,2.6,1.5,1.2,0.4,0.237,0.321,0.410,0.730,0.301,691723
360,Austin Hedges,CLE,R,C,C,64,194,176,19.6,5.0,18.8,1.5,35.8,24.0,6.5,0.3,57.9,49.0,12.7,2.1,1.5,1.5,0.5,0.203,0.261,0.329,0.590,0.249,12976
361,Luke Maile,CIN,R,C,C,64,194,171,23.5,4.9,21.0,2.0,39.9,23.4,11.4,0.3,66.6,51.1,16.7,2.9,1.5,1.5,0.8,0.233,0.307,0.388,0.695,0.300,13355
362,J.D. Davis,FA,R,3B,1B/3B,58,194,169,22.6,6.3,23.4,0.6,41.4,26.5,8.2,0.4,69.3,57.0,19.9,2.7,1.4,0.7,0.3,0.245,0.330,0.409,0.740,0.326,16219
363,Edmundo Sosa,PHI,R,3B,SS/3B,64,194,179,22.6,4.9,21.7,3.5,44.2,29.3,8.7,1.3,70.2,45.7,7.9,5.0,1.5,1.3,1.4,0.247,0.294,0.392,0.686,0.304,624641
364,Akil Baddoo,DET,L,OF,OF,57,194,169,23.3,5.1,19.6,7.5,40.5,28.2,5.7,1.4,64.5,46.9,21.8,1.0,1.4,1.3,2.6,0.240,0.327,0.383,0.710,0.300,668731
365,Drew Waters,KC,S,OF,OF,63,194,172,22.9,5.1,21.5,6.6,41.2,26.3,7.9,1.9,68.2,57.0,17.0,2.0,1.5,1.3,2.3,0.240,0.311,0.396,0.707,0.325,671221
366,Nick Gordon,MIA,L,OF,2B/OF,63,193,179,20.8,4.0,20.4,3.8,45.0,30.8,8.6,1.6,68.7,41.1,9.4,2.7,1.5,1.0,1.4,0.251,0.295,0.384,0.679,0.303,624503
367,Emmanuel Rivera,ARI,R,3B,1B/3B,58,191,172,22.2,5.3,21.6,1.1,43.4,28.9,8.3,1.0,69.5,41.3,14.3,1.6,1.4,1.0,0.5,0.252,0.312,0.404,0.716,0.300,656896
368,Nick Allen,OAK,R,SS,SS,65,191,172,20.2,2.9,17.5,4.6,41.5,29.2,8.6,0.8,60.5,32.5,13.7,1.3,1.5,1.5,1.5,0.241,0.297,0.351,0.648,0.278,669397
369,James McCann,BAL,R,C,C,62,190,173,20.7,4.9,20.4,2.5,41.0,28.2,7.5,0.3,64.0,49.5,11.0,2.5,1.5,1.3,0.9,0.236,0.287,0.369,0.656,0.299,12859
370,Tom Murphy,SF,R,C,C,62,187,165,22.0,6.5,21.2,1.0,39.6,26.4,6.3,0.4,66.1,51.5,17.9,1.7,1.4,1.2,0.4,0.240,0.316,0.400,0.716,0.305,13499
371,Aledmys Diaz,OAK,R,SS/3B,2B/SS/ 3B,57,187,172,18.9,4.5,19.7,0.8,41.0,26.3,9.8,0.4,65.1,35.5,10.1,2.7,1.4,0.9,0.3,0.239,0.288,0.379,0.667,0.275,15937
372,Ivan Herrera,STL,R,C,C,58,186,156,23.1,4.6,20.0,2.2,38.8,25.7,8.1,0.4,61.5,42.3,24.9,2.6,1.4,1.1,0.8,0.249,0.356,0.394,0.750,0.309,671056
373,Orelvis Martinez,TOR,R,SS,SS,53,186,166,22.2,7.2,22.3,1.0,35.4,19.5,8.3,0.4,66.1,48.9,15.7,1.8,1.4,1.2,0.4,0.213,0.284,0.398,0.682,0.253,682619
374,Garrett Cooper,CHC,R,1B,1B,57,185,165,20.7,5.9,21.6,0.4,41.1,27.1,7.6,0.5,67.4,50.9,15.4,2.2,1.4,0.7,0.2,0.249,0.318,0.408,0.725,0.321,643265
375,Evan Longoria,FA,R,3B,3B,57,185,165,21.5,7.2,22.8,0.5,37.6,22.9,7.2,0.3,67.1,55.0,16.3,1.3,1.4,0.7,0.2,0.227,0.299,0.405,0.704,0.291,9368
376,James Wood,WSH,L,OF,OF,53,184,164,19.9,6.0,21.0,2.7,37.0,21.0,9.1,0.9,65.8,60.4,15.3,1.7,1.4,1.2,1.1,0.225,0.293,0.401,0.694,0.312,695578
377,Jon Singleton,HOU,L,1B,1B,58,183,154,22.6,6.8,21.5,0.8,33.1,20.5,5.3,0.6,59.9,52.0,25.0,0.9,1.3,1.0,0.3,0.214,0.324,0.388,0.712,0.272,572138
378,Jake McCarthy,ARI,L,OF,OF,58,181,162,21.0,3.5,19.1,10.6,42.2,30.1,6.4,2.2,63.6,37.7,14.0,2.6,1.3,0.9,3.1,0.260,0.324,0.392,0.716,0.315,664983
379,Luis Matos,SF,R,OF,OF,59,181,164,20.5,4.1,19.3,3.4,43.4,31.2,7.2,0.9,64.7,24.7,13.1,1.8,1.3,1.1,1.3,0.265,0.322,0.395,0.717,0.288,682641
380,Yuli Gurriel,FA,R,1B,1B,57,178,162,20.2,3.6,19.4,1.8,43.0,29.5,9.2,0.7,64.4,25.7,12.2,1.4,1.3,0.7,0.7,0.264,0.318,0.397,0.715,0.293,19198
381,Curtis Mead,TB,R,3B,2B/3B,53,177,157,20.5,4.1,19.5,1.4,39.5,24.7,9.9,0.8,63.3,35.7,15.6,2.3,1.3,0.9,0.6,0.251,0.324,0.402,0.726,0.298,678554
382,Josh H. Smith,TEX,L,SS/3B/ OF,SS/3B/ OF,58,175,151,21.5,4.0,18.8,2.7,36.7,23.6,8.3,0.8,58.5,38.9,18.0,3.9,1.3,1.3,1.1,0.243,0.336,0.389,0.724,0.299,669701
383,Kole Calhoun,FA,L,1B,1B,57,174,157,20.2,5.4,19.6,0.9,35.8,22.6,7.0,0.8,60.7,44.9,12.9,2.1,1.3,0.7,0.4,0.228,0.292,0.386,0.678,0.282,11200
384,Jacob Stallings,COL,R,C,C,58,174,153,20.1,3.7,17.9,0.7,38.3,27.1,7.2,0.4,57.3,38.3,15.5,1.8,1.4,1.3,0.3,0.250,0.320,0.374,0.694,0.308,13723
385,Noelvi Marte,CIN,R,3B,3B,41,174,156,21.8,5.3,21.4,4.4,42.2,25.6,10.8,0.5,69.9,35.9,14.3,1.5,1.3,1.1,1.8,0.271,0.334,0.448,0.782,0.318,682622
386,Jorge Mateo,BAL,R,SS,SS,58,172,158,19.4,4.0,18.4,12.6,37.0,24.3,7.5,1.2,59.0,44.0,9.8,1.7,1.3,1.3,3.6,0.235,0.282,0.375,0.657,0.297,17273
387,Joey Votto,TOR,L,1B,1B,54,172,148,19.7,5.8,19.5,0.4,32.2,19.4,6.6,0.4,56.9,48.1,19.4,2.8,1.2,0.5,0.2,0.217,0.315,0.384,0.699,0.276,4314
388,Lenyn Sosa,CHW,R,2B,2B/3B,58,172,159,19.9,6.3,20.9,1.0,39.3,24.0,8.7,0.2,67.5,36.9,8.2,1.2,1.3,1.2,0.5,0.246,0.284,0.423,0.707,0.280,672820
389,Heston Kjerstad,BAL,L,DH,OF,47,172,155,21.2,5.5,21.9,1.2,40.9,25.4,8.9,1.0,68.5,38.6,11.3,2.8,1.3,1.0,0.5,0.263,0.320,0.440,0.760,0.314,677008
390,Riley Adams,WSH,R,C,C,57,171,151,19.1,5.4,19.0,0.9,33.7,19.6,7.9,0.8,59.3,52.1,14.6,3.2,1.3,1.1,0.4,0.223,0.301,0.393,0.694,0.299,656180
391,Nick Ahmed,SF,R,SS,SS,56,170,155,16.7,3.1,15.8,3.6,35.7,25.1,6.6,0.9,53.4,39.9,10.9,1.2,1.3,1.3,1.1,0.229,0.281,0.344,0.624,0.286,12147
392,Jonny DeLuca,TB,R,OF,OF,50,167,150,19.0,5.8,20.2,2.6,34.5,20.2,7.7,0.7,61.1,36.4,12.8,2.0,1.3,0.9,1.0,0.229,0.295,0.406,0.702,0.262,676356
393,Kevin Pillar,CHW,R,OF,OF,55,162,149,18.3,6.0,19.5,2.4,34.9,20.5,7.9,0.5,61.8,37.8,8.2,2.1,1.2,1.0,0.9,0.234,0.279,0.414,0.693,0.271,12434
394,Miguel Vargas,LAD,R,2B,2B,51,157,136,19.8,4.6,18.8,2.4,33.3,19.7,8.2,0.8,56.9,32.2,17.3,1.6,1.2,0.8,1.0,0.245,0.332,0.419,0.751,0.286,678246
