#,Name,Team,POS,R/L,G,GS,QS,TBF,IP,W,L,SV,HLD,ERA,SIERA,WHIP,K,BB,H,HBP,ER,R,HR,GB%,FB%,LD%,BABIP,RazzID
328,Kenley Jansen,BOS,RP,R,64.8,0.0,0.0,246.0,58.3,3.0,2.7,30,0,4.18,4.04,1.22,68.0,23.9,47.0,2.5,25.3,26.9,8,30.3,49.9,19.8,0.275,3096
329,Jake Diekman,NYM,RP,L,64.8,0.0,0.0,253.0,58.3,3.0,2.7,0,13,3.76,3.95,1.36,71.6,32.4,46.9,3.0,25.0,27.0,7,41.5,38.6,19.9,0.282,5003
330,Hoby Milner,MIL,RP,L,64.8,0.0,0.0,248.9,58.3,2.9,2.8,0,19,3.95,4.20,1.30,54.2,17.5,58.4,3.0,25.3,27.5,8,45.8,33.6,20.6,0.299,571948
331,Jose Cuas,CHC,RP,R,64.8,0.0,0.0,254.0,58.3,2.8,2.9,0,15,4.20,4.50,1.42,55.2,26.4,56.7,3.7,27.2,29.5,7,46.5,33.4,20.2,0.308,621016
332,A.J. Minter,ATL,RP,L,64.8,0.0,0.0,241.4,58.3,3.4,2.3,2,16,3.45,3.48,1.16,71.0,19.5,48.3,2.1,22.1,23.9,7,37.5,42.9,19.6,0.290,621345
333,Colin Poche,TB,RP,L,64.8,0.0,0.0,250.8,58.3,2.8,2.9,4,19,4.26,4.30,1.29,60.6,24.3,50.8,2.2,28.0,29.8,9,33.0,46.8,20.2,0.268,621363
334,Drew Smith,NYM,RP,R,64.8,0.0,0.0,254.8,58.3,2.8,2.9,0,19,4.37,4.45,1.33,60.8,24.4,53.3,2.8,29.1,31.0,9,33.3,46.8,19.9,0.275,622098
335,Seranthony Dominguez,PHI,RP,R,64.8,0.0,0.0,248.2,58.3,3.0,2.7,5,16,3.94,4.05,1.29,61.3,24.3,51.0,3.0,25.3,27.3,7,42.4,38.1,19.5,0.287,622554
336,Justin Topa,MIN,RP,R,64.8,0.0,0.0,250.7,58.3,2.9,2.8,3,16,3.85,4.00,1.36,49.9,20.1,59.1,2.7,25.8,28.2,6,51.3,28.8,19.9,0.308,623437
337,Tyler Kinley,COL,RP,R,64.8,0.0,0.0,248.7,58.3,2.9,2.8,7,16,4.72,4.88,1.34,55.1,22.3,55.9,2.6,26.8,28.6,9,35.1,45.2,19.6,0.301,641755
338,Tayler Saucedo,SEA,RP,L,64.8,0.0,0.0,252.3,58.3,2.9,2.8,0,6,3.91,4.25,1.39,54.8,24.1,56.6,3.3,25.8,28.1,6,49.6,30.2,20.3,0.302,642048
339,Gregory Soto,PHI,RP,L,64.8,0.0,0.0,246.5,58.3,3.1,2.6,2,19,3.62,3.75,1.27,65.9,26.5,47.6,2.7,23.2,25.2,6,44.0,36.6,19.4,0.285,642397
340,Griffin Jax,MIN,RP,R,64.8,0.0,0.0,245.0,58.3,3.0,2.7,0,19,3.73,3.66,1.22,60.7,18.8,52.1,2.6,25.0,26.9,7,42.2,38.2,19.6,0.289,643377
341,Mark Leiter Jr.,CHC,RP,R,64.8,0.0,0.0,246.4,58.3,3.0,2.7,0,19,3.81,3.81,1.23,61.9,20.1,51.9,3.6,24.7,26.7,7,43.8,36.0,20.2,0.291,643410
342,Genesis Cabrera,TOR,RP,L,64.8,0.0,0.0,253.0,58.3,2.9,2.8,0,19,4.10,4.31,1.36,59.1,26.5,52.5,3.0,27.1,29.1,8,39.1,41.1,19.9,0.283,650893
343,Sam Hentges,CLE,RP,L,64.8,0.0,0.0,244.3,58.3,3.1,2.6,0,19,3.36,3.55,1.26,64.4,21.1,52.6,2.1,22.0,24.1,6,49.9,30.4,19.7,0.307,656529
344,Caleb Ferguson,NYY,RP,L,64.8,0.0,0.0,244.3,58.3,3.3,2.5,0,19,3.40,3.74,1.25,68.6,22.7,50.3,3.1,21.9,24.0,6,44.8,35.6,19.6,0.303,657571
345,Enyel De Los Santos,SD,RP,R,64.8,0.0,0.0,248.2,58.3,2.9,2.8,0,19,3.88,3.95,1.28,62.6,23.5,50.9,2.8,25.8,27.8,8,39.0,41.3,19.8,0.281,660853
346,Alex Vesia,LAD,RP,L,64.8,0.0,0.0,245.8,58.3,3.2,2.5,0,18,3.60,3.81,1.24,73.3,24.5,47.7,2.4,23.8,25.4,8,32.6,47.5,19.9,0.284,681911
347,Will Smith,KC,RP,L,64.8,0.0,0.0,252.3,58.3,2.8,2.9,12,16,4.60,4.68,1.34,54.2,23.8,54.6,2.3,29.1,31.0,9,34.3,45.3,20.4,0.287,8048
348,Alec Marsh,KC,SP,R,21.1,7.9,2.9,252.4,57.7,2.8,3.5,0,1,4.77,4.83,1.41,53.2,25.2,55.9,3.2,29.9,31.9,8,39.4,40.6,20.0,0.299,679525
349,Gavin Stone,LAD,SP,R,21.1,7.9,3.3,245.4,57.7,3.5,2.7,0,1,4.02,4.19,1.34,56.2,20.8,56.4,2.1,26.3,28.5,8,45.2,34.8,20.0,0.302,694813
350,AJ Smith-Shawver,ATL,SP,R,21.1,7.9,3.0,251.6,57.7,3.6,2.7,0,1,4.66,4.54,1.36,59.6,25.9,52.6,2.4,29.6,31.5,9,36.6,43.4,19.9,0.280,700363
351,Bryan Hoeing,MIA,RP,R,44.8,2.6,0.8,243.1,57.1,2.6,3.2,0,4,4.50,4.55,1.39,41.9,16.3,62.9,2.5,28.2,30.6,7,48.2,31.8,20.0,0.303,663773
352,Michael Kelly,OAK,RP,R,51.8,0.0,0.0,246.3,57.0,2.6,3.0,0,5,4.20,4.26,1.34,55.8,25.0,51.6,2.3,27.6,29.5,8,38.8,41.2,20.0,0.282,547184
353,Joe Ross,MIL,SP,R,30.8,6.5,2.7,242.6,56.8,2.9,3.1,0,2,4.34,4.50,1.32,52.5,18.4,56.9,2.9,27.0,29.1,8,42.3,37.5,20.2,0.295,12972
354,Yonny Chirinos,MIA,SP,R,26.4,6.6,2.5,247.0,56.8,2.7,3.5,0,2,4.92,4.93,1.43,39.2,18.4,62.6,2.8,30.8,33.1,8,45.9,33.7,20.4,0.304,630023
355,Shelby Miller,DET,RP,R,56.7,0.0,0.0,245.7,56.7,2.7,2.9,0,6,4.29,4.16,1.30,57.5,24.9,48.8,2.4,27.3,29.2,7,37.1,42.8,20.1,0.272,10197
356,Edwin Diaz,NYM,RP,R,56.7,0.0,0.0,231.2,56.7,3.3,2.3,35,0,2.84,2.62,1.04,84.9,20.3,38.4,2.9,18.4,20.0,6,38.3,42.7,19.1,0.273,14710
357,Chad Green,TOR,RP,R,56.7,0.0,0.0,237.2,56.7,2.9,2.7,2,14,3.84,3.88,1.18,62.1,18.0,49.0,1.9,24.6,26.3,9,32.6,47.8,19.6,0.273,15552
358,Brock Stewart,MIN,RP,R,56.7,0.0,0.0,236.7,56.7,3.0,2.5,0,17,3.35,3.29,1.15,71.2,21.1,44.3,2.5,21.8,23.5,6,37.4,43.3,19.3,0.279,16727
359,Jordan Romano,TOR,RP,R,56.7,0.0,0.0,238.8,56.7,3.0,2.6,30,0,3.64,3.60,1.21,65.6,22.0,46.9,2.3,23.4,25.2,7,39.3,41.2,19.5,0.278,605447
360,Giovanny Gallegos,STL,RP,R,56.7,0.0,0.0,239.3,56.7,2.9,2.6,7,14,3.96,3.93,1.19,59.5,17.7,49.8,2.1,25.4,27.1,8,32.6,47.6,19.9,0.276,606149
361,Steven Wilson,CHW,RP,R,56.7,0.0,0.0,246.3,56.7,2.6,3.0,3,17,4.53,4.49,1.30,59.3,25.3,48.3,2.8,28.5,30.2,10,28.5,51.5,20.0,0.254,621051
362,Hunter Harvey,WSH,RP,R,56.7,0.0,0.0,235.7,56.7,2.8,2.7,10,11,3.71,3.54,1.17,61.5,18.5,48.0,2.2,23.1,24.9,7,40.5,40.1,19.3,0.282,640451
363,Adbert Alzolay,CHC,RP,R,56.7,0.0,0.0,235.3,56.7,3.0,2.6,20,6,3.62,3.62,1.17,61.6,16.3,49.9,2.8,22.8,24.6,7,41.2,39.3,19.6,0.290,640470
364,Connor Brogdon,PHI,RP,R,56.7,0.0,0.0,242.9,56.7,2.8,2.8,0,11,4.38,4.49,1.32,54.6,21.7,53.2,2.3,27.3,29.2,9,36.6,43.6,19.8,0.285,641401
365,Keynan Middleton,STL,RP,R,56.7,0.0,0.0,241.9,56.7,2.9,2.6,0,11,3.95,3.97,1.29,59.0,24.0,49.3,2.3,25.3,27.3,7,41.2,39.0,19.8,0.287,641871
366,Michael Kopech,CHW,RP,R,56.7,0.0,0.0,226.8,56.7,10.8,12.6,0,0,4.21,4.46,1.37,60.4,24.0,54.0,2.5,26.4,28.2,9,35.4,44.8,19.8,0.259,656629
367,Andres Munoz,SEA,RP,R,56.7,0.0,0.0,234.8,56.7,3.2,2.4,25,3,3.01,3.02,1.14,75.7,21.4,43.5,2.8,19.3,21.2,5,46.7,34.1,19.2,0.288,662253
368,Ryan Helsley,STL,RP,R,56.7,0.0,0.0,233.8,56.7,3.2,2.3,20,3,3.17,3.10,1.12,74.7,24.0,39.3,2.0,20.3,21.9,6,36.0,44.9,19.1,0.266,664854
369,Colin Holderman,PIT,RP,R,56.7,0.0,0.0,241.0,56.7,2.9,2.6,0,17,3.75,3.90,1.31,57.0,22.9,51.1,2.6,23.6,25.7,6,45.6,34.9,19.5,0.301,670059
370,Prelander Berroa,CHW,RP,R,56.7,0.0,0.0,243.8,56.7,2.7,2.8,2,14,3.90,4.17,1.35,65.5,29.7,47.0,2.4,24.5,26.5,7,39.8,40.4,19.8,0.281,672860
371,Yuki Matsui,SD,RP,L,56.7,0.0,0.0,237.4,56.7,3.0,2.5,7,11,3.32,3.54,1.24,71.9,24.0,46.4,2.0,21.5,23.3,6,41.3,37.7,21.1,0.294,673513
372,Andrew Wantz,LAA,RP,R,56.7,0.0,0.0,246.1,56.7,2.7,2.9,0,15,4.72,4.66,1.35,54.6,23.3,53.2,2.3,29.1,30.9,10,33.8,46.1,20.1,0.275,681806
373,Daniel Palencia,CHC,RP,R,56.7,0.0,0.0,243.6,56.7,2.8,2.7,0,6,4.02,4.15,1.32,61.9,26.2,48.5,3.0,25.3,27.2,7,38.9,41.6,19.4,0.285,694037
374,Woo-Suk Go,SD,RP,R,56.7,0.0,0.0,243.0,56.7,2.9,2.7,3,14,3.80,4.03,1.34,66.2,26.5,49.5,2.6,24.7,26.6,7,41.4,37.4,21.2,0.297,808970
375,David Robertson,TEX,RP,R,56.7,0.0,0.0,243.9,56.7,2.9,2.6,5,14,4.12,4.26,1.33,62.2,24.7,50.6,2.5,24.9,26.9,8,41.0,38.5,20.5,0.290,8241
376,Brandon Bielak,HOU,RP,R,43.7,3.2,1.3,237.0,56.5,3.1,2.7,0,4,4.31,4.62,1.41,49.1,19.5,60.2,2.7,27.1,29.3,7,46.4,33.3,20.3,0.304,656232
377,Clayton Kershaw,LAD,SP,L,10.2,10.2,5.5,234.5,56.1,4.0,2.2,0,0,3.61,3.60,1.19,56.9,15.0,52.1,1.8,23.0,25.0,8,46.2,33.2,20.6,0.287,2036
378,Jose Butto,NYM,RP,R,35.6,3.2,1.3,240.5,55.9,2.9,2.9,0,3,4.44,4.46,1.34,50.3,19.8,55.2,2.8,28.3,30.3,8,40.0,40.0,20.0,0.285,676130
379,Drew Rom,STL,SP,L,37.3,4.9,2.1,230.5,55.9,3.1,2.7,0,3,3.93,4.58,1.41,50.2,19.8,59.0,2.6,24.8,26.9,7,45.3,34.2,20.5,0.310,680723
380,Tanner Banks,CHW,RP,L,43.7,3.2,0.9,232.5,55.5,2.3,3.2,0,4,4.14,4.37,1.32,49.6,17.6,55.6,2.2,25.5,27.4,8,41.5,38.4,20.1,0.285,621383
381,Kyle Muller,OAK,SP,L,37.0,4.0,1.5,238.9,55.5,2.5,3.2,0,3,4.17,4.57,1.42,47.9,22.2,56.7,2.3,26.6,28.8,7,44.6,35.3,20.1,0.310,666205
382,Ron Marinaccio,NYY,RP,R,50.2,0.0,0.0,243.6,55.2,2.7,2.7,0,13,4.48,4.58,1.39,59.9,28.8,48.2,3.6,27.4,29.3,8,37.1,42.7,20.2,0.277,676760
383,Ray Kerr,ATL,RP,L,50.2,0.0,0.0,236.8,55.2,3.0,2.4,0,5,3.85,4.06,1.34,62.9,25.1,48.6,2.2,23.3,25.3,6,42.1,38.0,19.8,0.299,678061
384,Owen White,TEX,SP,R,21.1,7.9,3.0,238.2,54.0,2.9,3.2,0,1,5.09,5.43,1.51,40.1,21.9,59.6,2.8,29.4,31.6,9,44.3,35.3,20.4,0.305,669391
385,Chase Anderson,PIT,SP,R,21.1,7.9,2.9,233.9,54.0,2.7,3.4,0,1,5.07,5.23,1.42,41.7,21.3,55.3,2.7,30.4,32.3,9,36.2,43.5,20.3,0.287,6895
386,Wandy Peralta,SD,RP,L,59.9,0.0,0.0,232.1,53.9,2.7,2.5,3,15,3.67,3.93,1.35,53.1,23.8,48.9,2.6,22.6,24.7,6,49.3,30.8,19.9,0.289,14295
387,Jose A. Ferrer,WSH,RP,L,59.9,0.0,0.0,232.3,53.9,2.5,2.7,0,13,4.16,4.51,1.41,45.2,22.1,54.2,2.4,24.6,26.7,6,48.4,31.7,19.9,0.308,678606
388,Abner Uribe,MIL,RP,R,59.9,0.0,0.0,230.6,53.9,2.8,2.4,3,18,3.51,3.62,1.32,70.2,29.2,41.8,2.4,20.7,22.7,5,45.6,35.1,19.3,0.286,682842
389,Scott McGough,ARI,RP,R,48.6,0.0,0.0,226.5,53.5,2.8,2.5,2,12,3.73,3.96,1.29,57.2,21.2,47.8,2.2,22.3,24.2,6,44.2,35.7,20.0,0.300,12056
390,Matt Moore,LAA,RP,L,48.6,0.0,0.0,229.5,53.5,2.7,2.5,0,15,4.13,4.27,1.34,57.0,23.6,48.0,2.1,24.0,25.8,8,37.7,42.2,20.1,0.286,1890
391,Jay Jackson,MIN,RP,R,48.6,0.0,0.0,227.8,53.5,2.6,2.6,0,5,4.06,4.01,1.24,53.8,17.9,48.3,2.2,24.9,26.7,7,36.9,43.0,20.1,0.277,543351
392,Tyler Alexander,TB,RP,L,48.6,0.0,0.0,228.5,53.5,2.6,2.7,0,5,4.33,4.32,1.25,47.3,13.4,53.7,2.2,26.1,27.9,8,36.8,43.0,20.3,0.285,641302
393,Jalen Beeks,COL,RP,L,48.6,0.0,0.0,225.6,53.5,2.8,2.4,0,5,4.11,4.51,1.36,51.2,20.7,51.9,2.0,21.4,23.3,6,45.1,35.0,19.9,0.322,656222
394,Jake Latz,TEX,RP,L,48.6,0.0,0.0,228.0,53.5,2.8,2.4,0,5,3.96,4.25,1.29,57.8,22.0,47.0,2.2,22.6,24.4,7,38.6,41.5,19.9,0.284,656641
395,Bennett Sousa,HOU,RP,L,48.6,0.0,0.0,230.6,53.5,2.8,2.4,0,5,4.01,4.28,1.36,54.5,22.7,50.2,2.4,23.9,25.9,7,43.6,36.4,20.0,0.296,656986
396,Seth Martinez,HOU,RP,R,48.6,0.0,0.0,232.8,53.5,2.7,2.5,0,5,4.34,4.58,1.38,52.2,21.6,52.4,2.8,25.9,27.8,8,40.7,38.8,20.5,0.297,661527
397,Luis Frias,ARI,RP,R,48.6,0.0,0.0,231.0,53.5,2.7,2.6,0,5,4.18,4.42,1.39,52.6,24.1,50.3,2.0,25.1,27.0,6,40.6,39.5,19.9,0.302,666818
398,JoJo Romero,STL,RP,L,48.6,0.0,0.0,224.0,53.5,3.0,2.3,0,9,3.26,3.61,1.25,58.3,20.6,46.3,2.2,19.7,21.7,5,48.2,32.0,19.9,0.301,668941
399,Greg Weissert,BOS,RP,R,48.6,0.0,0.0,231.3,53.5,2.7,2.6,0,9,4.43,4.60,1.39,53.0,24.0,50.5,2.8,24.6,26.6,7,43.2,36.8,20.0,0.304,669711
400,Ronel Blanco,HOU,RP,R,48.6,0.0,0.0,228.3,53.5,2.8,2.5,0,5,4.08,4.17,1.31,57.7,21.5,48.5,2.0,24.3,26.1,7,39.3,40.8,19.9,0.288,669854
401,Trevor Richards,TOR,RP,R,48.6,0.0,0.0,228.3,53.5,2.8,2.5,0,15,3.79,4.05,1.29,63.8,23.1,45.7,1.8,23.0,24.6,8,33.4,46.6,20.0,0.284,670950
402,Collin McHugh,FA,RP,R,48.6,0.0,0.0,220.2,53.5,2.6,2.6,0,14,4.24,4.47,1.35,47.9,17.8,54.6,2.6,25.2,27.2,7,42.0,37.6,20.4,0.305,7531
403,Touki Toussaint,CHW,SP,R,29.2,4.9,1.9,223.1,53.2,2.4,3.2,0,2,4.41,4.75,1.51,50.6,26.9,53.4,3.5,26.0,28.1,7,47.4,32.5,20.2,0.291,657053
404,Joey Cantillo,CLE,SP,L,10.6,10.6,4.6,231.5,53.0,2.8,3.2,0,0,4.37,4.90,1.44,51.7,24.3,52.1,2.4,26.0,27.9,8,40.8,38.2,21.0,0.301,676282
405,Jesse Chavez,CHW,RP,R,58.8,0.0,0.0,227.5,52.9,2.5,2.7,0,18,4.08,4.27,1.33,50.8,19.0,51.5,2.1,23.9,25.8,8,42.8,36.9,20.3,0.294,5448
406,Matt Brash,SEA,RP,R,58.8,0.0,0.0,221.4,52.9,2.9,2.3,10,15,3.15,3.49,1.25,69.6,22.7,43.2,2.4,18.9,20.7,5,44.7,35.9,19.4,0.307,666374
407,Kai-Wei Teng,SF,SP,R,26.4,6.6,2.7,231.9,52.8,2.7,3.0,0,2,4.36,4.61,1.44,51.7,24.6,51.4,4.3,26.3,28.3,6,44.6,34.3,21.1,0.309,678906
408,Angel Zerpa,KC,SP,L,21.1,7.9,3.3,222.6,52.4,2.6,3.0,0,3,4.32,4.65,1.37,41.5,18.1,53.6,2.4,24.6,26.6,6,45.4,34.5,20.1,0.306,672582
409,Jose Urena,TEX,SP,R,31.7,5.3,2.0,214.4,51.8,2.7,2.8,0,3,4.74,5.29,1.50,37.1,17.4,60.4,2.0,26.2,28.3,8,46.4,33.6,20.0,0.300,11589
410,Andrew Kittredge,STL,RP,R,64.8,0.0,0.0,220.6,51.8,2.6,2.5,0,6,4.10,4.15,1.29,42.6,15.2,51.8,2.2,24.0,25.9,6,45.3,34.9,19.8,0.295,12828
411,Andrew Chafin,DET,RP,L,64.8,0.0,0.0,223.1,51.8,2.6,2.5,3,16,3.85,4.00,1.32,54.5,21.7,46.6,2.1,22.4,24.2,6,42.2,37.5,20.3,0.295,12988
412,Danny Coulombe,BAL,RP,L,64.8,0.0,0.0,220.4,51.8,2.7,2.4,3,16,3.82,3.98,1.27,50.9,17.9,48.1,2.0,22.0,23.8,7,41.9,37.7,20.4,0.292,13293
413,Brooks Raley,NYM,RP,L,64.8,0.0,0.0,223.4,51.8,2.6,2.5,3,16,3.90,4.05,1.31,54.3,20.1,47.6,3.2,23.1,24.9,7,41.5,37.9,20.6,0.290,548384
414,Yunior Marte,PHI,RP,R,51.8,0.0,0.0,223.2,51.8,2.6,2.5,0,5,4.12,4.35,1.38,49.0,21.3,50.1,2.4,23.5,25.5,6,46.1,34.3,19.6,0.303,628708
415,Tim Mayza,TOR,RP,L,64.8,0.0,0.0,218.9,51.8,2.8,2.3,0,19,3.42,3.67,1.29,51.3,17.3,49.3,2.0,20.0,22.1,5,52.2,27.8,20.0,0.307,641835
416,Gabe Speier,SEA,RP,L,64.8,0.0,0.0,217.9,51.8,2.7,2.4,0,19,3.48,3.56,1.20,55.7,15.8,46.6,2.5,20.4,22.3,6,46.7,33.6,19.8,0.291,642100
417,Brennan Bernardino,BOS,RP,L,64.8,0.0,0.0,220.8,51.8,2.7,2.3,0,6,3.97,4.30,1.34,50.5,19.6,50.1,2.9,21.4,23.3,6,47.3,32.4,20.3,0.313,657514
418,Kyle Nelson,ARI,RP,L,64.8,0.0,0.0,222.3,51.8,2.6,2.5,0,16,4.07,4.41,1.35,51.8,21.2,48.9,2.2,23.5,25.3,6,39.5,40.2,20.4,0.303,669459
419,Cionel Perez,BAL,RP,L,64.8,0.0,0.0,222.7,51.8,2.7,2.4,0,17,3.76,4.15,1.39,49.5,23.5,48.3,2.1,21.7,23.8,5,48.9,31.3,19.8,0.303,672335
420,Hunter Gaddis,CLE,RP,R,37.2,3.2,1.0,223.8,51.8,2.4,3.0,0,3,4.72,4.88,1.30,45.9,16.3,51.2,3.0,27.4,29.0,9,31.7,48.3,20.0,0.276,683769
421,Andrew Saalfrank,ARI,RP,L,64.8,0.0,0.0,223.1,51.8,2.7,2.4,0,16,3.63,4.13,1.44,50.3,25.0,49.4,2.2,21.0,23.2,4,53.1,26.5,20.4,0.318,685314
422,Ben Joyce,LAA,RP,R,64.8,0.0,0.0,222.3,51.8,2.7,2.4,0,19,3.93,3.95,1.32,63.9,26.9,41.3,2.9,22.2,23.9,6,38.6,42.2,19.2,0.282,690829
423,Eduard Bazardo,SEA,RP,R,47.0,0.0,0.0,222.6,51.7,2.5,2.6,0,5,4.23,4.28,1.29,48.5,17.1,49.5,2.5,24.7,26.6,8,40.8,39.3,19.9,0.282,660825
424,Cade Cavalli,WSH,SP,R,22.1,7.4,3.1,223.0,51.7,2.5,3.2,0,1,4.38,4.54,1.37,49.2,22.0,48.8,2.9,24.9,26.8,7,42.5,37.6,19.9,0.295,676917
425,Sam Moll,CIN,RP,L,57.3,0.0,0.0,221.9,51.6,2.7,2.4,0,12,4.08,4.36,1.38,54.4,24.4,46.6,2.9,21.9,23.8,6,45.8,34.1,20.2,0.295,14874
426,Derek Law,WSH,RP,R,51.5,0.0,0.0,223.8,51.5,2.3,2.7,0,5,4.47,4.55,1.40,43.3,21.1,51.0,2.2,25.3,27.3,7,44.6,35.5,19.9,0.295,13133
427,Jordan Leasure,CHW,RP,R,51.5,0.0,0.0,222.6,51.5,2.4,2.7,3,13,4.33,4.59,1.39,52.9,23.5,48.3,2.1,24.7,26.4,8,38.8,39.9,21.2,0.291,673929
428,Michael Grove,LAD,RP,R,42.1,1.6,0.6,214.2,51.5,2.8,2.3,0,8,3.77,3.84,1.23,55.4,15.3,47.8,1.8,22.0,23.7,7,39.1,41.3,19.6,0.296,675627
429,Bryan Mata,BOS,RP,R,33.8,4.4,1.8,226.2,51.4,2.6,2.8,0,3,4.80,5.19,1.54,45.8,26.4,52.9,2.5,25.6,27.7,6,47.2,31.5,21.2,0.321,667356
430,Brad Boxberger,FA,RP,R,56.7,0.0,0.0,225.9,51.0,2.3,2.7,1,11,4.95,5.07,1.46,43.6,23.0,51.5,2.6,28.0,29.9,8,38.3,41.0,20.6,0.291,10133
431,Chris Martin,BOS,RP,R,56.7,0.0,0.0,211.0,51.0,2.7,2.2,0,17,3.78,3.77,1.20,49.2,12.1,49.1,1.9,20.0,21.8,6,46.3,34.2,19.5,0.306,455119
432,Tim Hill,CHW,RP,L,56.7,0.0,0.0,223.2,51.0,2.3,2.7,3,14,4.40,4.97,1.50,33.7,18.8,57.9,3.1,24.9,27.1,6,52.1,27.2,20.7,0.318,657612
433,Dany Jimenez,OAK,RP,R,56.7,0.0,0.0,223.1,51.0,2.3,2.7,5,14,4.23,4.25,1.36,52.6,26.0,43.6,1.9,24.9,26.7,7,37.5,42.4,20.1,0.271,666204
434,Ty Blach,COL,SP,L,26.5,4.4,1.7,219.3,50.7,2.3,3.0,0,2,5.25,5.70,1.51,31.9,15.1,61.4,2.3,25.9,27.9,8,44.6,34.6,20.8,0.332,14361
435,James Karinchak,CLE,RP,R,55.9,0.0,0.0,218.7,50.3,2.5,2.5,0,17,4.06,4.00,1.30,64.7,26.6,38.7,2.1,22.9,24.4,7,32.0,48.0,20.0,0.265,675916
436,Simeon Woods Richardson,MIN,SP,R,25.1,5.3,2.0,218.7,50.3,2.5,2.9,0,2,4.60,4.85,1.45,41.3,20.4,52.4,1.7,26.5,28.5,7,41.9,37.6,20.5,0.302,680573
437,Gregory Santos,SEA,RP,R,50.2,0.0,0.0,214.1,50.2,2.6,2.4,2,13,3.67,3.73,1.29,53.2,18.9,45.9,2.6,20.8,22.8,5,49.4,31.3,19.3,0.299,666619
438,Ryan Weathers,MIA,SP,L,29.2,4.9,1.9,217.3,50.2,2.4,2.8,0,7,4.39,4.73,1.39,44.2,19.6,50.2,1.8,24.3,26.1,7,40.3,39.8,19.9,0.299,677960
439,Pedro Avila,SD,SP,R,23.8,4.0,1.6,210.8,48.9,2.5,2.6,0,2,4.20,4.38,1.40,44.8,20.2,48.0,2.6,23.4,25.4,6,46.0,34.0,20.1,0.299,658648
440,Janson Junk,MIL,SP,R,23.8,4.0,1.4,209.6,48.9,2.3,2.8,0,2,4.86,5.15,1.38,34.6,12.9,54.8,1.8,26.1,27.9,9,40.5,39.2,20.4,0.297,676083
441,Mitch Spence,OAK,SP,R,29.2,4.9,2.0,208.8,48.8,2.3,2.9,0,2,4.22,4.49,1.37,37.5,15.3,51.8,2.2,23.7,25.6,6,48.2,30.6,21.2,0.307,687765
442,Clayton Beeter,NYY,SP,R,22.7,6.5,2.6,212.7,48.7,2.9,2.5,0,2,4.51,4.78,1.41,49.6,22.0,46.7,2.4,24.4,26.1,8,39.2,39.7,21.1,0.294,690925
443,Tyler Matzek,ATL,RP,L,48.6,0.0,0.0,213.7,48.6,2.5,2.2,0,15,4.38,4.48,1.39,50.5,23.4,44.2,2.1,23.4,25.1,7,36.3,43.5,20.2,0.286,10058
444,Jorge Lopez,NYM,RP,R,48.6,0.0,0.0,208.0,48.6,2.4,2.3,0,12,3.91,3.96,1.30,48.1,17.1,46.2,3.1,21.7,23.5,6,47.5,32.9,19.6,0.295,14527
445,J.P. Feyereisen,LAD,RP,R,48.6,0.0,0.0,212.9,48.6,2.4,2.4,0,15,4.62,4.67,1.39,43.9,20.1,47.4,1.9,25.4,27.1,8,35.8,44.1,20.2,0.278,16610
446,Sean Newcomb,OAK,RP,L,48.6,0.0,0.0,211.7,48.6,2.2,2.5,0,5,4.05,4.34,1.42,50.4,25.9,42.9,2.4,22.7,24.4,6,42.1,37.7,20.3,0.290,16943
447,Jason Adam,TB,RP,R,48.6,0.0,0.0,204.3,48.6,2.5,2.2,10,12,3.64,3.49,1.16,57.7,18.0,38.2,3.2,19.9,21.5,6,39.0,41.2,19.8,0.266,592094
448,Yency Almonte,CHC,RP,R,48.6,0.0,0.0,209.4,48.6,2.4,2.4,2,12,4.04,4.15,1.33,49.7,20.3,44.2,2.7,21.8,23.6,6,42.7,37.5,19.8,0.293,622075
449,Dillon Tate,BAL,RP,R,48.6,0.0,0.0,211.1,48.6,2.4,2.4,0,15,4.22,4.34,1.38,38.2,17.0,50.2,2.9,22.9,24.9,6,50.3,29.7,20.1,0.302,622253
450,Huascar Brazoban,MIA,RP,R,48.6,0.0,0.0,208.8,48.6,2.4,2.4,0,12,4.01,4.18,1.36,51.5,22.6,43.7,2.2,21.5,23.3,5,44.5,35.8,19.7,0.304,623211
451,Nick Anderson,KC,RP,R,48.6,0.0,0.0,209.0,48.6,2.3,2.5,0,15,4.56,4.68,1.32,41.3,16.5,47.6,1.8,24.1,25.7,7,35.9,44.2,19.9,0.289,623433
452,Victor Gonzalez,NYY,RP,L,48.6,0.0,0.0,209.0,48.6,2.6,2.2,0,10,3.74,4.06,1.35,47.9,20.2,45.5,2.6,20.1,22.1,5,50.2,29.9,19.8,0.301,624647
453,Jonathan Loaisiga,NYY,RP,R,48.6,0.0,0.0,206.6,48.6,2.6,2.2,3,12,3.84,3.97,1.30,43.0,15.5,47.6,2.2,20.7,22.6,5,50.5,30.0,19.4,0.297,642528
454,Jaime Barria,CLE,RP,R,32.3,2.9,0.9,205.7,48.6,2.2,2.8,0,3,4.81,5.19,1.44,36.9,15.1,54.8,1.9,26.2,27.9,8,37.8,42.0,20.2,0.288,642545
455,Sean Reid-Foley,NYM,RP,R,48.6,0.0,0.0,208.5,48.6,2.5,2.3,0,15,3.80,3.79,1.30,58.2,22.5,40.5,1.9,21.1,22.8,6,39.2,41.0,19.8,0.282,656887
