#,Name,Team,POS,R/L,G,GS,QS,TBF,IP,W,L,SV,HLD,ERA,SIERA,WHIP,K,BB,H,HBP,ER,R,HR,GB%,FB%,LD%,BABIP,RazzID
236,Ryan Brasier,LAD,RP,R,64.8,0.0,0.0,273.8,64.8,3.4,2.9,0,19,3.89,3.75,1.23,66.3,20.6,58.9,2.5,28.6,30.8,9,40.2,40.1,19.7,0.281,5615
237,Clay Holmes,NYY,RP,R,64.8,0.0,0.0,274.9,64.8,3.6,2.7,30,0,3.31,3.50,1.28,67.5,24.0,59.0,3.6,23.8,26.5,5,57.4,22.9,19.7,0.306,605280
238,Joel Payamps,MIL,RP,R,64.8,0.0,0.0,273.7,64.8,3.3,3.1,5,19,3.94,4.12,1.27,63.2,20.6,61.5,2.9,28.0,30.3,8,43.2,37.0,19.8,0.291,606303
239,Aaron Bummer,ATL,RP,L,64.8,0.0,0.0,273.8,64.8,3.8,2.6,1,16,3.24,3.54,1.32,75.1,28.9,56.7,3.2,23.0,25.6,5,56.2,23.9,20.0,0.319,607481
240,Jose Alvarado,PHI,RP,L,64.8,0.0,0.0,270.6,64.8,3.7,2.7,15,13,3.04,3.36,1.24,84.0,30.7,49.8,3.1,21.7,23.9,6,48.9,31.7,19.4,0.302,621237
241,Ryan Borucki,PIT,RP,L,64.8,0.0,0.0,279.7,64.8,3.2,3.2,0,19,4.18,4.27,1.33,57.2,26.1,60.3,3.5,30.1,32.5,8,44.1,36.0,20.0,0.287,621366
242,Josh Sborz,TEX,RP,R,64.8,0.0,0.0,273.4,64.8,3.5,2.9,1,16,3.78,3.91,1.26,75.5,26.0,55.5,2.2,26.1,28.3,8,40.6,39.8,19.6,0.291,622250
243,Evan Phillips,LAD,RP,R,64.8,0.0,0.0,272.0,64.8,3.6,2.7,30,3,3.47,3.25,1.16,74.3,21.3,53.8,3.0,25.5,27.7,8,42.7,37.7,19.6,0.275,623465
244,Kyle Finnegan,WSH,RP,R,64.8,0.0,0.0,274.9,64.8,3.1,3.2,20,6,4.02,4.03,1.29,64.1,25.0,58.7,2.2,28.6,30.9,8,44.5,36.0,19.5,0.290,640448
245,Emilio Pagan,CIN,RP,R,64.8,0.0,0.0,273.9,64.8,3.2,3.1,0,12,4.50,4.39,1.26,69.9,24.6,57.1,2.3,30.3,32.2,12,31.7,48.7,19.6,0.268,641941
246,Kevin Ginkel,ARI,RP,R,64.8,0.0,0.0,272.4,64.8,3.4,2.9,5,16,3.68,3.71,1.25,70.1,25.5,55.9,2.5,26.7,28.9,7,43.1,37.2,19.7,0.293,656464
247,Alex Lange,DET,RP,R,64.8,0.0,0.0,283.1,64.8,3.2,3.2,20,6,3.88,3.87,1.35,72.8,33.7,53.9,3.5,28.2,30.7,6,46.5,33.6,19.9,0.288,656638
248,Tanner Scott,MIA,RP,L,64.8,0.0,0.0,270.0,64.8,3.6,2.8,25,6,3.08,3.31,1.22,84.0,29.2,50.0,3.3,21.9,24.2,5,47.5,33.0,19.5,0.305,656945
